team_code,first_name,last_name,position,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken,games_played,points,goals,assists,total_shots,shots_on_goal,turnovers,caused_turnovers,groundballs,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
CHR,John,Moderski,Defense,5,1,1,0,1,1,2,5,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,John,Ranagan,Midfield,10,17,12,3,32,21,7,3,3,10,29,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Jordan,MacIntosh,Midfield,8,22,20,2,46,33,13,3,26,20,45,0,1,0,5,2,0,0,0,4,2,4,0,0,0,3,0,1,0,1
CHR,Jordan,Wolf,Attack,10,32,16,16,65,38,24,1,12,16,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Jovan,Miller,Midfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,1,12,9,4,0,3,6,12,0,0,0,0
CHR,Justin,Guterding,Attack,10,35,20,14,62,38,18,0,15,19,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Justin,Turri,Midfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,2,19,10,4,1,4,4,18,1,1,0,0
CHR,Luke,Duprey,Defense,2,0,0,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Matt,Danowski,Midfield,9,15,8,6,35,20,8,1,3,7,25,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHR,Michael,Manley,Defense,9,3,1,1,1,1,2,8,15,0,0,1,1,0,0,2,0,0,0,4,2,1,0,1,0,3,0,1,0,0
CHR,Mike,O'Neil,Midfield,7,1,1,0,4,3,2,4,11,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Ned,Crotty,Midfield,10,27,17,9,46,29,14,0,4,16,40,1,6,0,0,2,1,1,0,3,2,1,1,3,1,3,0,0,0,1
CHR,Romar,Dennis,Midfield,10,6,4,1,24,8,4,2,7,3,13,1,11,0,0,2,1,0,1,2,2,4,0,1,0,1,0,1,0,0
CHR,Ty,Thompson,Attack,3,3,2,1,5,4,1,0,1,2,5,0,0,0,0,2,0,0,0,5,4,2,0,3,0,3,0,2,0,0
CHR,Will,Haus,Midfield,9,4,4,0,11,8,4,4,17,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHR,Connor,Farrell,Faceoff,10,2,1,1,7,3,7,2,70,1,7,0,0,114,209,2,0,0,0,1,0,0,0,4,0,0,0,1,0,0
CHR,Ryan,Flanagan,Defense,6,0,0,0,1,0,3,4,15,0,1,0,0,0,0,2,1,1,0,1,1,3,1,14,1,1,0,0,22,45
CHR,Max,Tuttle,Midfield,8,7,5,2,33,15,5,5,12,5,29,0,4,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0
CHR,Chris,Sabia,Defense,7,0,0,0,1,1,2,5,11,0,0,0,1,0,0,2,0,0,0,4,2,3,1,2,0,4,0,0,0,2
CHR,Simon,Mathias,Attack,7,7,6,1,26,16,5,0,5,6,26,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CHR,John,Prendergast,Midfield,6,1,0,1,2,0,1,1,3,0,1,0,1,0,0,2,4,2,2,8,7,0,1,2,2,8,0,0,0,0
CHR,Joe,Fletcher,Defense,6,0,0,0,0,0,1,6,9,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0
CHR,Alec,Tulett,Defense,4,0,0,0,1,1,4,2,8,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
CHR,Alex,Ready,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,1,1,0,0,0,1,0,0
CHR,Greg,Coholan,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0
RED,Brent,Adams,Midfield,9,11,10,1,35,20,11,1,11,10,26,0,9,0,0,2,1,1,0,1,1,0,0,0,1,1,0,0,0,0
RED,Brent,Hiken,Faceoff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,2,9,7,2,1,3,3,5,1,4,0,0
RED,Brian,Karalunas,Defense,10,3,1,2,4,1,0,6,14,1,4,0,0,5,14,3,0,0,0,0,0,1,2,10,0,0,0,0,0,0
RED,Chazz,Woodson,Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Eddy,Glazener,Defense,9,2,1,1,4,3,4,6,9,1,4,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0
RED,Garrett,Epple,Defense,10,1,1,0,5,3,5,23,40,1,2,0,3,0,0,3,2,1,1,2,2,1,1,5,1,2,0,0,0,0
RED,Greg,Gurenlian,Faceoff,8,1,1,0,10,4,6,0,32,1,10,0,0,86,172,3,2,1,1,1,1,3,0,25,1,1,0,0,40,70
RED,Gunnar,Waldt,Goalie,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Jack,Kelly,Goalie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Jack,Near,Midfield,7,0,0,0,10,5,1,1,7,0,5,0,5,0,0,3,1,1,0,2,2,2,4,4,1,1,0,1,0,0
RED,Joe,Walters,Midfield,10,20,9,11,42,26,18,0,5,9,42,0,0,0,0,3,5,3,2,5,5,2,0,0,3,5,0,0,0,0
RED,John,Sexton,Defense,9,1,1,0,8,2,4,10,18,1,4,0,4,5,15,3,3,2,0,3,3,0,0,3,1,1,1,2,0,5
RED,JoJo,Marasco,Midfield,3,3,1,2,3,2,0,0,2,1,3,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
RED,Kyle,Harrison,Midfield,10,3,3,0,31,20,5,1,4,3,28,0,3,0,0,3,2,1,1,6,3,1,0,0,1,5,0,1,0,0
RED,Kylor,Bellistri,Attack,2,1,0,1,4,3,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Larken,Kemp,Defense,6,1,1,0,1,1,0,3,8,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Matt,Kavanagh,Attack,9,24,15,8,54,36,10,2,14,14,53,1,1,0,0,3,7,3,4,12,7,7,2,6,3,12,0,0,0,0
RED,Matt,Landis,Defense,8,0,0,0,0,0,1,3,13,0,0,0,0,0,0,3,0,0,0,0,0,2,2,10,0,0,0,0,0,0
RED,Nick,Ossello,Midfield,3,0,0,0,3,0,1,1,6,0,3,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RED,Patrick,Harbeson,Midfield,10,3,3,0,9,6,5,4,21,3,9,0,0,0,4,3,0,0,0,0,0,2,1,3,0,0,0,0,0,0
RED,Peter,Baum,Attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
