full_name,team_code,number,position,games_played,points,goals,assists,1_point_attempts,1_point_percent,2_point_attempts,2_point_percent,total_shots,shooting_percent,shots_on_goal,turnovers,caused_turnovers,groundballs,faceoff_attempts,faceoff_win_percent,first_name,last_name,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
Ben Reeves,WHP,2,Attack,2,3,2,1,2-6,33.3%,0-0,0.0%,6,33.3%,3,3,0,1,0-0,0.0%,Ben,Reeves,2,6,0,0,0,0
Brett Schmidt,WHP,44,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%,Brett,Schmidt,0,0,0,0,0,0
Bryce Young,WHP,6,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,1,5,0-0,0.0%,Bryce,Young,0,0,0,0,0,0
Charlie Raffa,WHP,-,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Charlie,Raffa,0,0,0,0,0,0
Connor Kelly,WHP,40,Midfield,2,4,2,2,2-9,22.2%,0-2,0.0%,11,18.1%,7,1,0,2,0-0,0.0%,Connor,Kelly,2,9,0,2,0,0
Dan Morris,WHP,8,Goalie,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Dan,Morris,0,0,0,0,0,0
Drew Snider,WHP,23,Midfield,2,4,4,0,4-9,44.4%,0-1,0.0%,10,40.0%,8,3,1,2,0-0,0.0%,Drew,Snider,4,9,0,1,0,0
Dylan Maltz,WHP,10,Attack,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Dylan,Maltz,0,0,0,0,0,0
Dylan O’Shaughnessy,WHP,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Dylan,O’Shaughnessy,0,0,0,0,0,0
Foster Huggins,WHP,-,Defense,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Foster,Huggins,0,0,0,0,0,0
Jake Bernhardt,WHP,83,Midfield,2,1,1,0,1-3,33.3%,0-0,0.0%,3,33.3%,1,1,0,4,0-1,0.0%,Jake,Bernhardt,1,3,0,0,0,1
Jay Carlson,WHP,32,Attack,1,1,1,0,1-2,50.0%,0-0,0.0%,2,50.0%,2,1,1,2,0-0,0.0%,Jay,Carlson,1,2,0,0,0,0
Jeff Reynolds,WHP,21,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jeff,Reynolds,0,0,0,0,0,0
Jeremy Sieverts,WHP,14,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Jeremy,Sieverts,0,0,0,0,0,0
Joe Locascio,WHP,5,Midfield,2,2,2,0,2-7,28.5%,0-2,0.0%,9,22.2%,4,0,0,0,0-0,0.0%,Joe,Locascio,2,7,0,2,0,0
Joseph Nardella,WHP,91,Faceoff,2,1,1,0,1-5,20.0%,0-0,0.0%,5,20.0%,3,1,0,13,24-45,53.3%,Joseph,Nardella,1,5,0,0,24,45
Kevin Cooper,WHP,-,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Kevin,Cooper,0,0,0,0,0,0
Kyle Bernlohr,WHP,35,Goalie,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,1,4,0-0,0.0%,Kyle,Bernlohr,0,0,0,0,0,0
Matt Rambo,WHP,9,Attack,2,7,4,3,4-11,36.3%,0-0,0.0%,11,36.3%,7,4,0,2,0-0,0.0%,Matt,Rambo,4,11,0,0,0,0
Matthew Dunn,WHP,33,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,2,3,0-0,0.0%,Matthew,Dunn,0,0,0,0,0,0
Michael Ehrhardt,WHP,28,Defense,2,0,0,0,0-1,0.0%,0-2,0.0%,3,0.0%,0,0,1,5,1-2,50.0%,Michael,Ehrhardt,0,1,0,2,1,2
Mike Chanenchuk,WHP,1,Midfield,2,8,4,1,1-5,20.0%,3-7,42.8%,12,33.3%,8,2,0,2,0-0,0.0%,Mike,Chanenchuk,1,5,3,7,0,0
Ryan Drenner,WHP,22,Attack,2,0,0,0,0-5,0.0%,0-2,0.0%,7,0.0%,4,4,1,2,0-0,0.0%,Ryan,Drenner,0,5,0,2,0,0
Tim Muller,WHP,36,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,1,4,7,0-0,0.0%,Tim,Muller,0,0,0,0,0,0
Tim Rotanz,WHP,20,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Tim,Rotanz,0,0,0,0,0,0
Tyler Warner,WHP,13,Midfield,2,1,0,1,0-0,0.0%,0-0,0.0%,0,0.0%,0,2,1,7,0-0,0.0%,Tyler,Warner,0,0,0,0,0,0
Isaac Paparo,WHP,43,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,1,0-0,0.0%,Isaac,Paparo,0,0,0,0,0,0
John Haus,WHP,26,Midfield,1,4,3,1,3-6,50.0%,0-0,0.0%,6,50.0%,5,0,0,0,0-0,0.0%,John,Haus,3,6,0,0,0,0
Joseph McCallion,WHP,3,Midfield,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Joseph,McCallion,0,0,0,0,0,0
James Barclay,WHP,45,Defense,2,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,James,Barclay,0,0,0,0,0,0
