full_name,team_code,number,position,games_played,points,goals,assists,1_point_attempts,1_point_percent,2_point_attempts,2_point_percent,total_shots,shooting_percent,shots_on_goal,turnovers,caused_turnovers,groundballs,faceoff_attempts,faceoff_win_percent,first_name,last_name,1_point_goals,1_point_shots,2_point_goals,2_point_shots,faceoff_wins,faceoffs_taken
Brendan Fowler,ARC,7,Faceoff,3,1,0,1,0-1,0.0%,0-0,0.0%,1,0.0%,0,0,0,10,17-35,48.5%,Brendan,Fowler,0,1,0,0,17,35
Joey Sankey,ARC,34,Attack,3,6,2,4,2-11,18.1%,0-0,0.0%,11,18.1%,5,6,0,2,0-0,0.0%,Joey,Sankey,2,11,0,0,0,0
Andrew Hodgson,ATL,11,Midfield,1,1,1,0,1-4,25.0%,0-0,0.0%,4,25.0%,2,1,0,2,0-0,0.0%,Andrew,Hodgson,1,4,0,0,0,0
Austin Pifani,ATL,17,Defense,2,0,0,0,0-1,0.0%,0-1,0.0%,2,0.0%,1,2,4,5,0-0,0.0%,Austin,Pifani,0,1,0,1,0,0
Callum Robinson,ATL,10,Defense,1,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Callum,Robinson,0,0,0,0,0,0
Chris Cloutier,ATL,45,Attack,2,2,1,1,1-7,14.2%,0-0,0.0%,7,14.2%,2,1,0,5,0-0,0.0%,Chris,Cloutier,1,7,0,0,0,0
Chris Mattes,ATL,-,Faceoff,0,0,0,0,0-0,0.0%,0-0,0.0%,0,0.0%,0,0,0,0,0-0,0.0%,Chris,Mattes,0,0,0,0,0,0
Connor Buczek,ATL,33,Midfield,1,9,6,0,3-6,50.0%,3-6,50.0%,12,50.0%,10,2,0,0,0-0,0.0%,Connor,Buczek,3,6,3,6,0,0
Eric Law,ATL,15,Attack,2,4,3,1,3-7,42.8%,0-0,0.0%,7,42.8%,5,3,0,0,0-0,0.0%,Eric,Law,3,7,0,0,0,0
Jake Richard,ATL,27,Midfield,2,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,1,1,0,3,0-0,0.0%,Jake,Richard,0,2,0,0,0,0
James Pannell,ATL,32,Attack,1,0,0,0,0-2,0.0%,0-0,0.0%,2,0.0%,2,1,0,0,0-0,0.0%,James,Pannell,0,2,0,0,0,0
